Date,Open,High,Low,Close,Adj Close,Volume
2020-01-10,75.857140,76.057144,75.371429,75.742859,74.935875,1636915
2020-01-13,76.171425,76.599998,75.657143,76.542854,75.727348,2767597
2020-01-14,76.685715,76.885712,75.400002,76.485718,75.670830,3122707
2020-01-15,76.771431,77.028572,75.828568,76.114288,75.303345,4714976
2020-01-16,75.885712,76.914284,75.714287,76.914284,76.094818,4938395
2020-01-17,77.142860,78.771431,77.114288,78.257141,77.423378,5344948
2020-01-20,77.828568,78.714287,76.800003,76.800003,75.981758,3682630
2020-01-21,76.485718,77.514282,75.342857,77.514282,76.688423,3963554
2020-01-22,77.828568,78.171425,76.885712,77.599998,76.773232,3655960
2020-01-23,77.457146,78.085716,77.057144,77.942856,77.112434,3708460
2020-01-24,78.599998,80.599998,78.599998,80.057144,79.204193,4388062
2020-01-27,78.714287,79.000000,77.114288,78.171425,77.338562,5861919
2020-01-28,78.457146,79.028572,77.114288,78.542854,77.706039,6000162
2020-01-29,78.685715,78.714287,77.199997,77.971428,77.140701,3748136
2020-01-30,76.942856,77.714287,75.342857,75.371429,74.568405,4957204
2020-01-31,75.400002,76.485718,75.028572,75.028572,74.229202,6213403
2020-02-03,75.400002,75.828568,74.800003,75.085716,74.285736,4753175
2020-02-04,75.571426,78.028572,75.199997,78.028572,77.197243,7413112
2020-02-05,78.914284,82.085716,78.771431,81.914284,81.041550,7592550
2020-02-06,82.542854,83.685715,80.028572,80.285713,79.430328,7723387
2020-02-07,80.657143,80.657143,77.942856,79.228569,78.384453,5086235
2020-02-10,79.285713,79.685715,78.628571,79.314285,78.469254,5674333
2020-02-11,80.114288,80.428574,79.714287,80.400002,79.543396,9496949
2020-02-12,79.285713,81.085716,78.514282,81.028572,80.165276,5517323
2020-02-13,80.514282,81.000000,79.628571,80.599998,79.741272,3020955
2020-02-14,80.599998,81.000000,80.485718,80.800003,79.939148,3420753
2020-02-17,81.371429,82.371429,81.371429,81.542854,80.674080,3000102
2020-02-18,80.857140,80.914284,79.628571,80.114288,79.260735,5413142
2020-02-19,80.542854,81.714287,80.142860,81.714287,80.843681,3120474
2020-02-20,81.714287,82.028572,81.257141,81.885712,81.013283,3114293
2020-02-21,81.457146,81.857140,80.599998,81.114288,80.250076,4743039
2020-02-24,78.914284,79.000000,76.714287,77.857140,77.027626,9074352
2020-02-25,78.257141,79.085716,77.742859,78.000000,77.168976,8611967
2020-02-26,77.257141,79.057144,75.285713,78.428574,77.592972,8093204
2020-02-27,77.085716,77.085716,73.314285,74.714287,73.918266,7904869
2020-02-28,71.942856,73.371429,70.471428,73.228569,72.448380,10177580
2020-03-02,74.571426,75.228569,72.142860,73.514282,72.731041,8112398
